"ID_fish","bold_E","se_b_E","exp_E","se_exp_E","act_E","se_act_E","bold_I","se_b_I","exp_I","se_exp_I","act_I","se_act_I","trial","cage","treatment","z_log_boldness","z_log_activity","z_exploration","dens_tot","BS_post_tot","ces_tot","change_bc","change_bs","name","body_condition","z_bc","z_change_bc","z_change_bs"
"O/OO",-0.153716326822913,0.404961088480757,0.431471345063115,0.294849540708466,-0.763925295276666,0.485961401636944,0.070997279247256,0.2936788133288,-0.101801906203329,0.340350484081751,0.147045853421759,0.374496305817578,4,10,"E",0.0188583508958454,-0.881356828304771,0.760340013790179,14.8943560057887,12,8,0.0023998652257283,3.50820067534974,"fulton4",0.0242277354539906,-0.69131921080337,0.266925629573854,-0.114165672807404
"OB/B",-0.337116027095532,0.37814943771955,0.290735655566142,0.317173932957392,-0.539212216321266,0.493817600607665,0.0451593023821663,0.297551723583379,0.112262364365922,0.357908911687875,0.756634330539571,0.414329966587083,4,10,"E",0.568391466287446,-0.0548010713398666,0.681303610653411,15.9811798769453,12,11,-0.0041744838941035,2.80464378184248,"fulton4",0.0295265922281649,1.48571939898301,-1.12758419311018,-0.281973061321308
"OB/O",-0.785144225811118,0.394067648356446,0.408457034713752,0.294458435158959,0.335133272512535,0.498226586591047,0.442583664487398,0.304988371241411,-0.40557618104889,0.338723818550389,0.0557294063589673,0.381379214129503,4,8,"E",-1.21074292387571,0.845990535642722,-0.128346604932604,7.2969327540367,6,4,-0.0015092659760802,0.206268696272441,"fulton4",0.0300888073460942,1.71670583075506,-0.562254835247898,-0.901719014367825
"OG/B",-0.505468497128277,0.348912109215255,0.217198898592708,0.335872009527123,-0.247623399611713,0.471320616443105,0.300792125716893,0.278997406715009,-0.250605846637557,0.348842960972148,0.340566238182366,0.383591937635417,4,7,"E",1.06269948767815,-0.0692693779536499,-0.30868308665052,13.6417752729834,11,6,0.008122807708955,-1.82341199953035,"fulton4",0.0256006388707512,-0.127260985949536,1.48084040076258,-1.38582402452823
"OG/G",-0.79162712264355,0.46044676913673,0.714913123066455,0.401800016120134,0.522518221203468,0.583518909148582,0.768885701332726,0.366303241871958,-0.875263434139949,0.406462466483662,-0.864744009555225,0.475797197456079,4,7,"E",-0.410653798218625,-0.200294586865289,-0.0686816602258968,6.67653962221974,5,3,-0.0028782217397719,0.572010481477338,"fulton4",0.0275441435923277,0.671229140787939,-0.852629171093457,-0.814484883891618
"OG/O",-0.412168458338749,0.35246543407678,0.377533746671748,0.292604042258556,-0.527167655526429,0.468363006422658,0.04174839248313,0.290774783362481,-0.26568476652845,0.333299758434588,0.201672206430241,0.373430517356148,4,8,"E",-0.778963052744191,-0.731137847565664,0.741731759555051,30.4387889425186,30,1,0.000807544456063,10.5549726233856,"fulton4",0.0248436098033211,-0.438286850350771,-0.0708274945283954,1.5665802753392
"OO/B",-0.636512648528516,0.358840486753671,0.416714754825053,0.297191312295684,-0.00159638252947162,0.473904941880644,0.0103623480096013,0.294398503628217,0.0176435482770782,0.33775121824793,0.326435673643686,0.376737972725095,4,7,"E",0.485268872105884,0.179992130648867,1.1604466152011,14.5884782378481,13,3,0.000944053525362698,4.66118347511973,"fulton4",0.0258589651002828,-0.0211274934664396,-0.0418720444063984,0.160835587810415
"OO/G",-0.660210513633754,0.359812238914077,0.50637568690761,0.29907780172018,-0.315683854489832,0.45393213723338,0.0540117187580801,0.286564397906569,0.144610144080722,0.340277465179525,0.238664859135935,0.365872746646934,4,8,"E",-0.957797415668221,-0.793808256747108,0.985778026089135,9,9,0,0.0046653865961194,2.28391480898318,"fulton4",0.024897548686538,-0.416126026547368,0.747473855250043,-0.406173633962198
"OO/O",-0.479971883696034,0.346264543493944,0.418524081840252,0.292752469663301,-0.655252930554711,0.480605564914036,-0.0102885610734665,0.293393443756349,-0.0774950046861022,0.339436346387303,0.393477909584992,0.382518933139805,4,8,"E",-1.36589407184662,-0.837182403215919,0.969801902522568,6.73616018845701,6,3,-0.0031602174650382,0.84732037691402,"fulton4",0.029835082321568,1.61246274621753,-0.912444340880002,-0.748819924864691
"R/BG",-0.442764636587938,0.358560493243779,0.578042376508878,0.327053718580271,0.156147794675542,0.489910161307388,0.446808796381866,0.286847151989102,-0.7755535795713,0.36575362589101,-0.545161018001862,0.406940402114861,4,6,"E",-0.477778012817109,-0.300336940013025,0.112867136535368,15.5335689045936,12,8,0.0066913642835197,0.517744661238285,"fulton4",0.0262186070396867,0.126631621593383,1.17721157287382,-0.827427981548561
"R/BR",-0.173396845421437,0.442690286668548,0.248642915560827,0.351598314054446,-1.2338645400492,0.583589669932126,-0.275317911401272,0.359960644793357,0.18722508641683,0.368722710173149,0.687926095639476,0.434591270727777,4,6,"E",0.401925541867092,-0.273290572722607,0.16954037764741,17.7420718816068,4,26,0.0051154922227514,2.11416490486258,"fulton4",0.0223628716570092,-1.45749966463418,0.842947446040995,-0.44666117430732
"R/GB",-0.491245611237996,0.353346935948908,0.557002942816847,0.305697210563418,0.136523876709161,0.482545578723348,0.470828190017817,0.289296368247212,-0.49641076419339,0.340457433289075,-0.431167192975091,0.393774659538121,4,7,"E",-0.219064636697889,-1.13934666744212,0.00183016421215439,15.916590284143,15,2,-0.0022977920911824,6.87442713107241,"fulton4",0.0282244799736578,0.950745767283052,-0.729512063744615,0.68872273024029
