ID_fish;num_fish;cage;trial;boldness;bassin_bold;date_bold;exp_bold;video_bold;exploration;activity;bassin_exp;date_act;video_act;exp_act;mass_1;mass_2;mass_3;mass_4;TL_1;TL_2;TL_3;TL_4;SL_1;SL_2;SL_3;SL_4;BS_pre;BS_post_corps;BS_muscle;BS_post_tot;P04_alive;P04_dead;P013_alive;P013_dead;P06;gonade;treatment
G/GG;31;6;1;185;4;29/06/2022;MG;523;0.3841382;1285.91;3;23/06/2022;952;MG;2.6;2.5;3.2;3.1;55.6;57.9;59.0;57.5;44.1;46.6;47.1;50.0;8;0;0;0;0;0;0;0;0;0;C
R/BG;35;6;1;89;1;28/06/2022;JAP;4618;0.08522167;439.98;3;22/06/2022;4583;MG;2.3;3.1;2.5;2.3;53.4;53.0;54.7;54.6;43.3;45.5;43.5;44.2;11;0;0;0;0;0;0;0;0;0;C
R/BR;36;6;1;36;2;30/06/2022;JAP;13;0.2615519;1792.04;4;24/06/2022;4511;MG;2.3;2.2;2.0;2.0;53.1;51.2;51.6;52.2;43.4;43.1;43.6;43.9;0;0;0;0;0;0;0;0;0;1;C
R/RB;32;6;1;96;2;29/06/2022;JAP;582;0.328755;1610.36;2;23/06/2022;572;JAP;2.2;1.9;1.8;1.8;53.8;52.4;51.2;50.9;44.0;42.4;41.0;41.5;0;0;0;0;0;0;0;0;0;0;C
R/RG;34;6;1;123;3;01/07/2022;MG;983;0.2413024;767.99;3;22/06/2022;4581;MG;2.1;1.8;1.9;1.9;51.8;50.4;52.6;52.4;44.9;44.2;43.2;43.2;0;0;0;0;0;0;0;0;0;1;C
B/BG;33;6;2;73;2;05/07/2022;JAP;619;0.3481982;744.95;1;03/07/2022;7;JAP;2.6;2.7;3.0;3.0;56.4;54.1;57.9;57.6;47.2;49.1;46.0;47.4;4;0;0;0;0;0;0;0;0;0;C
G/GG;31;6;2;115;2;05/07/2022;JAP;618;0.2421185;883.17;1;02/07/2022;12;JAP;2.6;2.5;3.2;3.1;55.6;57.9;59.0;57.5;44.1;46.6;47.1;50.0;8;0;0;0;0;0;0;0;0;0;C
R/BG;35;6;2;157;4;04/07/2022;MG;4555;0.2597343;544.21;4;02/07/2022;4540;MG;2.3;3.1;2.5;2.3;53.4;53.0;54.7;54.6;43.3;45.5;43.5;44.2;11;0;0;0;0;0;0;0;0;0;C
R/BR;36;6;2;18;4;06/07/2022;MG;4566;0.3545045;941.9;3;03/07/2022;1001;MG;2.3;2.2;2.0;2.0;53.1;51.2;51.6;52.2;43.4;43.1;43.6;43.9;0;0;0;0;0;0;0;0;0;1;C
R/RB;32;6;2;175;1;04/07/2022;JAP;2;0.3671171;766.86;2;02/07/2022;597;JAP;2.2;1.9;1.8;1.8;53.8;52.4;51.2;50.9;44.0;42.4;41.0;41.5;0;0;0;0;0;0;0;0;0;0;C
R/RG;34;6;2;82;3;06/07/2022;MG;1019;0.1397757;618.82;1;02/07/2022;14;JAP;2.1;1.8;1.9;1.9;51.8;50.4;52.6;52.4;44.9;44.2;43.2;43.2;0;0;0;0;0;0;0;0;0;1;C
B/GB;37;7;1;169;3;01/07/2022;MG;985;0.1148649;476.78;3;22/06/2022;4586;MG;1.8;1.9;1.6;1.7;50.5;51.5;50.0;50.4;42.9;41.0;39.8;41.4;0;0;0;0;0;0;0;0;0;0;C
G/GB;38;7;1;310;2;29/06/2022;JAP;585;0.1937015;732.63;1;23/06/2022;4592;JAP;2.1;2.3;2.5;2.6;53.5;53.1;56.1;55.6;44.9;43.4;44.6;45.2;2;0;0;0;0;0;0;0;0;0;C
OG/B;42;7;1;127;1;30/06/2022;JAP;16;0.2750424;1388.8;4;24/06/2022;4513;MG;2.1;2.7;2.2;2.3;50.3;50.4;51.7;53.9;41.1;43.1;41.8;44.6;14;0;0;0;0;0;0;0;0;1;C
OG/G;40;7;1;662;4;30/06/2022;MG;532;0.1271186;293.83;3;24/06/2022;963;MG;1.8;1.7;1.8;1.8;51.6;48.8;50.5;51.2;40.5;41.0;40.1;40.2;4;0;0;0;0;0;0;0;0;1;C
OO/B;39;7;1;83;2;01/07/2022;JAP;590;0.2895238;613.28;3;22/06/2022;4584;MG;1.8;2.0;1.8;1.9;49.0;50.5;51.5;49.0;40.1;42.1;39.1;41.8;4;0;0;0;0;0;0;0;0;1;C
R/GB;41;7;1;414;1;29/06/2022;JAP;2;0.2007089;621.97;4;23/06/2022;4508;MG;1.8;1.8;2.0;2.2;51.7;50.0;51.8;53.2;42.8;41.1;41.6;42.6;0;0;0;0;0;0;0;0;0;0;C
B/GB;37;7;2;87;4;06/07/2022;MG;4571;0.3148148;431.65;4;02/07/2022;4543;MG;1.8;1.9;1.6;1.7;50.5;51.5;50.0;50.4;42.9;41.0;39.8;41.4;0;0;0;0;0;0;0;0;0;0;C
G/GB;38;7;2;76;3;04/07/2022;MG;1009;0.2981982;435.74;1;02/07/2022;18;JAP;2.1;2.3;2.5;2.6;53.5;53.1;56.1;55.6;44.9;43.4;44.6;45.2;2;0;0;0;0;0;0;0;0;0;C
OG/B;42;7;2;378;2;05/07/2022;JAP;622;0.311956;893.12;2;03/07/2022;605;JAP;2.1;2.7;2.2;2.3;50.3;50.4;51.7;53.9;41.1;43.1;41.8;44.6;14;0;0;0;0;0;0;0;0;1;C
OG/G;40;7;2;743;4;05/07/2022;MG;4565;0.1699074;616.19;4;03/07/2022;4549;MG;1.8;1.7;1.8;1.8;51.6;48.8;50.5;51.2;40.5;41.0;40.1;40.2;4;0;0;0;0;0;0;0;0;1;C
OO/B;39;7;2;28;1;06/07/2022;JAP;4676;0.3394539;809.29;2;02/07/2022;599;JAP;1.8;2.0;1.8;1.9;49.0;50.5;51.5;49.0;40.1;42.1;39.1;41.8;4;0;0;0;0;0;0;0;0;1;C
R/GB;41;7;2;74;2;04/07/2022;JAP;614;0.2564815;406.79;1;02/07/2022;16;JAP;1.8;1.8;2.0;2.2;51.7;50.0;51.8;53.2;42.8;41.1;41.6;42.6;0;0;0;0;0;0;0;0;0;0;C
OB/O;44;8;1;319;2;01/07/2022;JAP;589;0.2290651 ;870.74;2;22/06/2022;567;JAP;2.3;2.8;2.7;3.1;56.1;56.0;55.8;56.2;47.2;46.1;44.9;46.8;4;0;0;0;0;0;0;0;0;1;C
OG/O;46;8;1;44;2;30/06/2022;JAP;586;0.2139776;1124.12;3;24/06/2022;961;MG;2.3;2.2;2.3;2.3;53.2;53.3;53.9;53.9;45.8;44.1;43.2;45.1;6;0;0;0;0;0;0;0;0;1;C
OO/G;43;8;1;125;4;28/06/2022;MG;13;0.2516615;859.44;2;22/06/2022;568;JAP;2.2;2.4;2.3;2.2;50.5;52.6;54.1;53.3;43.4;43.3;42.8;44.5;4;0;0;0;0;0;0;0;0;1;C
OO/O;45;8;1;136;3;30/06/2022;MG;981;0.2240437;1512.87;1;24/06/2022;5;JAP;3.2;3.1;3.8;4.1;59.4;61.3;63.1;66.1;50.5;48.8;51.3;51.5;2;0;0;0;0;0;0;0;0;0;C
R/GG;47;8;1;30;3;29/06/2022;MG;974;0.2222222;899.2;4;23/06/2022;4506;MG;2.9;2.7;2.9;2.9;56.8;58.6;58.3;59.0;45.9;47.8;46.7;46.5;0;0;0;0;0;0;0;0;0;1;C
R/GR;48;8;1;227;2;29/06/2022;JAP;584;0.3777589;1421.29;2;23/06/2022;1;JAP;2.3;1.8;2.2;2.7;51.5;53.2;54.1;54.2;44.1;43.2;43.3;44.1;2;0;0;0;0;0;0;0;0;0;C
OB/O;44;8;2;281;2;06/07/2022;JAP;638;0.2893221;778.71;2;02/07/2022;600;JAP;2.3;2.8;2.7;3.1;56.1;56.0;55.8;56.2;47.2;46.1;44.9;46.8;4;0;0;0;0;0;0;0;0;1;C
OG/O;46;8;2;69;1;05/07/2022;JAP;4660;0.2800546;725.2;4;03/07/2022;4546;MG;2.3;2.2;2.3;2.3;53.2;53.3;53.9;53.9;45.8;44.1;43.2;45.1;6;0;0;0;0;0;0;0;0;1;C
OO/G;43;8;2;65;1;04/07/2022;JAP;5;0.3747748;702.3;4;02/07/2022;4545;MG;2.2;2.4;2.3;2.2;50.5;52.6;54.1;53.3;43.4;43.3;42.8;44.5;4;0;0;0;0;0;0;0;0;1;C
OO/O;45;8;2;40;1;06/07/2022;JAP;4677;0.2729287;813.04;4;03/07/2022;4548;MG;3.2;3.1;3.8;4.1;59.4;61.3;63.1;66.1;50.5;48.8;51.3;51.5;2;0;0;0;0;0;0;0;0;0;C
R/GG;47;8;2;91;3;05/07/2022;MG;1014;0.3498117;819.51;4;02/07/2022;4542;MG;2.9;2.7;2.9;2.9;56.8;58.6;58.3;59.0;45.9;47.8;46.7;46.5;0;0;0;0;0;0;0;0;0;1;C
R/GR;48;8;2;189;4;04/07/2022;MG;4559;0.3177388;835.51;3;02/07/2022;993;MG;2.3;1.8;2.2;2.7;51.5;53.2;54.1;54.2;44.1;43.2;43.3;44.1;2;0;0;0;0;0;0;0;0;0;C
B/OB;52;9;1;224;2;28/06/2022;JAP;580;0.2986265;1094.83;2;22/06/2022;566;JAP;1.9;2.1;2.2;2.1;51.1;51.2;54.3;54.2;43.4;42.1;43.2;44.3;2;0;0;0;0;0;0;0;0;1;C
BB/O;50;9;1;423;3;30/06/2022;MG;982;0.1781125 ;970.7;4;24/06/2022;4512;MG;1.8;1.6;1.8;1.9;46.4;49.5;50.0;50.5;41.1;40.8;42.0;42.4;0;0;0;0;0;0;0;0;0;1;C
G/OG;53;9;1;231;3;28/06/2022;MG;967;0.2790309;961.25;1;22/06/2022;949;JAP;2.0;1.8;2.4;2.5;52.0;53.3;56.0;56.4;42.5;43.4;46.2;45.9;2;0;0;0;0;0;0;0;0;0;C
GO/B;49;9;1;270;4;29/06/2022;MG;525;0.2928666;972.81;2;23/06/2022;2;JAP;1.8;1.9;2.2;1.9;49.5;49.1;51.9;53.1;41.2;41.6;43.8;43.4;20;0;0;0;0;0;0;0;0;0;C
O/GO;54;9;1;190;2;30/06/2022;JAP;587;0.2698198;542.54;2;24/06/2022;575;JAP;1.2;1.2;1.8;1.8;44.4;46.0;49.3;49.0;38.8;37.9;39.1;40.4;22;0;0;0;0;0;0;0;0;1;C
O/OB;51;9;1;194;1;29/06/2022;JAP;4634;0.1879699;1270.69;3;23/06/2022;957;MG;1.5;1.8;1.8;1.8;46.7;47.7;52.3;49.8;40.9;42.0;41.0;41.9;16;0;0;0;0;0;0;0;0;1;C
B/OB;52;9;2;69;3;04/07/2022;MG;1008;0.2905282;732.35;4;02/07/2022;4544;MG;1.9;2.1;2.2;2.1;51.1;51.2;54.3;54.2;43.4;42.1;43.2;44.3;2;0;0;0;0;0;0;0;0;1;C
