ID_fish;num_fish;cage;trial;boldness;bassin_bold;date_bold;exp_bold;video_bold;exploration;activity;bassin_exp;date_act;video_act;exp_act;mass_1;mass_2;mass_3;mass_4;TL_1;TL_2;TL_3;TL_4;SL_1;SL_2;SL_3;SL_4;BS_pre;BS_post_corps;BS_muscle;BS_post_tot;P04_alive;P04_dead;P013_alive;P013_dead;P06;gonade;treatment
OG/O;46;8;4;43;1;25/08/2022;MG;5;0.3371143;606.83;2;22/08/2022;787;MG;2.3;2.2;2.3;2.3;53.2;53.3;53.9;53.9;45.8;44.1;43.2;45.1;6;16;14;30;1;6;0;0;0;1;E
OO/G;43;8;4;36;2;23/08/2022;MG;7;0.3542857;592.95;4;18/08/2022;4638;MG;2.2;2.4;2.3;2.2;50.5;52.6;54.1;53.3;43.4;43.3;42.8;44.5;4;5;4;9;0;2;0;0;0;1;E
OO/O;45;8;4;24;4;25/08/2022;VM;5.1;0.3531616 ;583.53;2;22/08/2022;786;MG;3.2;3.1;3.8;4.1;59.4;61.3;63.1;66.1;50.5;48.8;51.3;51.5;2;5;1;6;2;6;0;0;1;0;E
R/GG;47;8;4;15;1;24/08/2022;MG;4777;0.4100753;621.66;4;19/08/2022;4645;MG;2.9;2.7;2.9;2.9;56.8;58.6;58.3;59.0;45.9;47.8;46.7;46.5;0;6;0;6;4;2;0;0;4;1;E
R/GR;48;8;4;27;1;24/08/2022;MG;4778;0.3964218;690.75;2;19/08/2022;1130;MG;2.3;1.8;2.2;2.7;51.5;53.2;54.1;54.2;44.1;43.2;43.3;44.1;2;2;2;4;3;0;0;0;4;0;E
B/OB;52;9;3;40;2;15/08/2022;SGG;715;0.1905184;1081.95;2;12/08/2022;695;JAP;1.9;2.1;2.2;2.1;51.1;51.2;54.3;54.2;43.4;42.1;43.2;44.3;2;2;2;4;1;4;0;0;0;1;E
BB/O;50;9;3;32;2;17/08/2022;JAP;6;0.2105263;959.08;2;14/08/2022;710;SGG;1.8;1.6;1.8;1.9;46.4;49.5;50.0;50.5;41.1;40.8;42.0;42.4;0;6;1;7;4;4;0;0;44;1;E
G/OG;53;9;3;36;1;15/08/2022;SGG;4;0.2656578;811.22;1;12/08/2022;5;JAP;2.0;1.8;2.4;2.5;52.0;53.3;56.0;56.4;42.5;43.4;46.2;45.9;2;8;4;12;2;4;0;0;0;0;E
GO/B;49;9;3;85;4;16/08/2022;MG;4626;0.2882883;595.33;3;13/08/2022;1094;MG;1.8;1.9;2.2;1.9;49.5;49.1;51.9;53.1;41.2;41.6;43.8;43.4;20;30;8;38;0;4;0;0;0;0;E
O/GO;54;9;3;134;1;17/08/2022;JAP;767;0.3355735;1179.96;2;14/08/2022;709;SGG;1.2;1.2;1.8;1.8;44.4;46.0;49.3;49.0;38.8;37.9;39.1;40.4;22;18;5;23;0;8;0;0;0;1;E
O/OB;51;9;3;27;4;16/08/2022;MG;4625;0.3424408;610.79;2;13/08/2022;7;SGG;1.5;1.8;1.8;1.8;46.7;47.7;52.3;49.8;40.9;42.0;41.0;41.9;16;14;9;23;4;2;0;0;0;1;E
B/OB;52;9;4;14;3;23/08/2022;VM;810;0.2866637;1096.54;3;18/08/2022;772;MG;1.9;2.1;2.2;2.1;51.1;51.2;54.3;54.2;43.4;42.1;43.2;44.3;2;2;2;4;1;4;0;0;0;1;E
BB/O;50;9;4;91;4;25/08/2022;VM;4.1;0.3221326;1003.64;3;22/08/2022;1134;VM;1.8;1.6;1.8;1.9;46.4;49.5;50.0;50.5;41.1;40.8;42.0;42.4;0;6;1;7;4;4;0;0;44;1;E
G/OG;53;9;4;30;1;23/08/2022;MG;4771;0.3305556;717.62;2;22/08/2022;784;MG;2.0;1.8;2.4;2.5;52.0;53.3;56.0;56.4;42.5;43.4;46.2;45.9;2;8;4;12;2;4;0;0;0;0;E
